year,make,model,displ,cylinders,trans,drive,fuel_type,city_mpg,highway_mpg,comb_mpg,co2_emissions
2023,Audi,Truck,5.6,6,CVT,AWD,Regular,10.0,17.2,13.3,683.0
2024,Nissan,Truck,1.5,6,Automatic,4WD,Electric,100.2,104.3,102.1,31.0
2022,Chevrolet,Truck,2.2,6,Automatic,RWD,Premium,13.3,20.0,16.3,561.0
2024,Toyota,Wagon,4.8,4,CVT,RWD,Premium,10.0,15.0,12.2,718.0
2024,Nissan,Wagon,2.4,4,Manual,FWD,Regular,21.9,28.6,24.9,411.0
2021,Volkswagen,Truck,4.1,4,Manual,AWD,Electric,95.6,103.1,99.0,113.0
2022,Nissan,Minivan,1.4,4,Manual,4WD,Regular,17.1,25.0,20.7,390.0
2022,Chevrolet,Wagon,3.3,4,CVT,FWD,Regular,14.5,19.3,16.7,518.0
2022,Hyundai,Hatchback,4.7,4,CVT,FWD,Regular,10.0,15.0,12.2,730.0
2024,Volkswagen,Truck,4.4,6,Automatic,4WD,Regular,10.0,17.9,13.6,653.0
2023,Chevrolet,Hatchback,5.1,8,Automatic,AWD,Electric,86.1,93.4,89.4,98.0
2022,Tesla,Hatchback,5.4,6,CVT,4WD,Regular,10.0,15.0,12.2,748.0
2024,Kia,Truck,4.9,4,Automatic,FWD,Regular,10.0,15.9,12.6,695.0
2021,Kia,SUV,4.4,4,Manual,FWD,Electric,85.0,88.9,86.8,101.0
2023,Honda,Minivan,1.2,12,Manual,RWD,Premium,10.0,18.0,13.6,684.0
2021,Ford,Truck,3.7,12,CVT,4WD,Diesel,10.0,15.0,12.2,759.0
2023,Toyota,Truck,1.2,8,Manual,4WD,Regular,16.3,22.1,18.9,490.0
2024,Subaru,Wagon,5.0,6,CVT,4WD,Premium,10.0,16.3,12.8,687.0
2020,Mazda,Truck,2.6,4,Manual,FWD,Regular,10.0,17.7,13.5,644.0
2023,Chevrolet,SUV,3.8,6,CVT,AWD,Hybrid,26.9,34.1,30.1,294.0
2021,Hyundai,Wagon,2.4,4,Manual,FWD,Premium,16.6,20.9,18.5,481.0
2024,Mazda,Sedan,4.9,4,Manual,RWD,Premium,10.0,15.9,12.6,705.0
2023,Hyundai,Sedan,5.4,6,Automatic,FWD,Regular,10.0,17.8,13.5,669.0
2020,Tesla,Hatchback,3.0,4,Automatic,FWD,Regular,10.0,16.7,13.0,691.0
2020,Mercedes-Benz,Minivan,5.3,3,Automatic,FWD,Regular,10.0,16.4,12.9,695.0
2022,Mercedes-Benz,Hatchback,2.3,4,Automatic,RWD,Regular,16.9,23.7,19.9,437.0
2022,Mercedes-Benz,SUV,3.7,4,Automatic,4WD,Regular,10.4,15.0,12.5,687.0
2021,Mazda,Coupe,5.3,8,Automatic,AWD,Premium,10.0,16.6,13.0,698.0
2023,Lexus,Minivan,2.6,4,CVT,AWD,Regular,17.5,21.7,19.4,459.0
2023,Chevrolet,Sedan,5.8,4,CVT,RWD,Diesel,13.8,19.0,16.2,557.0
2022,Subaru,Hatchback,1.6,4,Automatic,4WD,Regular,19.2,26.7,22.6,402.0
2023,Mazda,Sedan,1.1,3,CVT,4WD,Regular,23.7,26.8,25.1,314.0
2023,Chevrolet,SUV,5.5,4,Automatic,RWD,Diesel,12.7,17.8,15.0,627.0
2020,Nissan,SUV,1.3,6,CVT,FWD,Premium,17.6,21.9,19.6,442.0
2022,Tesla,Coupe,6.0,4,Manual,4WD,Regular,10.0,15.0,12.2,756.0
2024,Subaru,Coupe,5.8,6,CVT,AWD,Regular,10.0,17.2,13.2,682.0
2022,Mercedes-Benz,Wagon,1.7,12,CVT,RWD,Premium,10.0,16.5,12.9,667.0
2024,Volkswagen,Minivan,3.7,6,CVT,AWD,Regular,10.0,15.0,12.2,714.0
2020,Tesla,SUV,1.9,4,Manual,FWD,Regular,16.9,22.4,19.4,444.0
2021,Hyundai,Hatchback,3.1,4,Automatic,RWD,Premium,22.6,27.9,25.0,343.0
2023,Mercedes-Benz,Sedan,1.3,8,CVT,AWD,Regular,13.5,17.2,15.2,549.0
2020,Kia,Truck,2.1,4,CVT,AWD,Regular,14.9,21.9,18.1,475.0
2023,Ford,Coupe,2.8,6,Manual,FWD,Hybrid,20.7,25.5,22.9,407.0
2021,Kia,Truck,3.2,8,Automatic,RWD,Diesel,21.5,28.3,24.6,383.0
2021,Mercedes-Benz,Hatchback,5.9,8,CVT,4WD,Regular,10.0,15.0,12.2,715.0
2020,Tesla,Coupe,5.0,8,Manual,4WD,Regular,10.0,15.0,12.2,691.0
2021,Subaru,Truck,4.7,6,Automatic,AWD,Regular,12.7,16.2,14.3,634.0
2024,Volkswagen,Minivan,3.7,4,Automatic,FWD,Electric,93.6,97.3,95.3,72.0
2021,Hyundai,Hatchback,5.2,8,CVT,AWD,Premium,10.0,17.4,13.3,648.0
2023,Lexus,Sedan,2.7,4,CVT,FWD,Regular,19.5,23.1,21.1,416.0
2023,Volkswagen,Minivan,4.5,4,CVT,4WD,Regular,10.0,15.0,12.2,721.0
2023,Mazda,Hatchback,6.0,6,CVT,AWD,Regular,10.0,17.7,13.5,643.0
2023,Audi,Wagon,2.6,6,Manual,AWD,Regular,11.1,17.3,13.9,625.0
2024,Hyundai,Coupe,4.4,8,Manual,FWD,Premium,10.0,15.0,12.2,718.0
2022,Mercedes-Benz,SUV,5.2,6,CVT,RWD,Regular,10.0,17.9,13.5,644.0
2020,Mazda,Sedan,5.6,4,Automatic,FWD,Regular,10.0,15.0,12.2,715.0
2023,Audi,Minivan,4.6,8,CVT,RWD,Regular,10.0,16.8,13.1,672.0
2021,Chevrolet,Minivan,2.4,6,Automatic,4WD,Regular,10.0,15.0,12.2,736.0
2023,Subaru,Truck,2.6,6,Automatic,AWD,Regular,11.5,17.6,14.2,631.0
2021,BMW,Coupe,1.1,4,Automatic,AWD,Premium,21.2,26.9,23.8,363.0
2021,Chevrolet,SUV,4.8,4,Manual,FWD,Premium,12.9,16.9,14.7,598.0
2023,Honda,Hatchback,1.2,6,Automatic,FWD,Hybrid,35.7,41.9,38.5,258.0
2024,Volkswagen,SUV,5.3,4,Automatic,4WD,Hybrid,18.5,24.6,21.2,439.0
2021,BMW,Coupe,1.6,4,Manual,4WD,Premium,21.6,28.6,24.7,371.0
2021,Mazda,Coupe,1.9,6,Automatic,RWD,Premium,17.9,25.2,21.2,384.0
2023,Nissan,Wagon,3.4,4,Automatic,4WD,Hybrid,28.7,34.3,31.2,287.0
2021,Chevrolet,Wagon,4.7,4,CVT,4WD,Regular,10.0,15.5,12.5,697.0
2021,Honda,SUV,1.7,4,Automatic,4WD,Regular,19.1,25.2,21.9,387.0
2023,Toyota,Hatchback,3.2,4,Automatic,4WD,Regular,13.8,20.5,16.8,522.0
2023,BMW,SUV,3.4,6,Automatic,RWD,Premium,10.5,15.3,12.6,726.0
2020,Kia,Coupe,2.1,4,Automatic,4WD,Diesel,23.7,29.2,26.2,357.0
2024,Hyundai,Coupe,1.6,3,Automatic,RWD,Regular,22.4,28.4,25.1,342.0
2024,Lexus,Truck,5.2,6,Manual,FWD,Regular,10.0,17.9,13.6,655.0
2021,Lexus,Wagon,3.5,8,Automatic,AWD,Regular,10.0,15.9,12.7,691.0
2024,Honda,Truck,1.1,6,Automatic,FWD,Regular,15.4,19.5,17.2,512.0
2021,Subaru,Sedan,5.0,4,Manual,4WD,Regular,10.4,16.4,13.1,698.0
2020,BMW,Coupe,5.9,4,Manual,AWD,Regular,11.9,19.0,15.1,587.0
2023,Chevrolet,Truck,4.0,8,Automatic,4WD,Regular,11.5,18.8,14.8,565.0
